"Anio" "Mes" "Temperatura"
"1" 2017 2 25.8566627502441
"2" 2010 2 25.1907221476237
"3" 2014 2 25.0822944641113
"4" 2017 3 25.0104497273763
"5" 2015 2 24.981819152832
"6" 2001 3 24.9789568583171
"7" 2023 2 24.9129269917806
"8" 1984 2 24.7294241587321
"9" 2015 3 24.7069943745931
"10" 2015 1 24.7060432434082
"11" 2019 2 24.6815280914307
"12" 1980 3 24.6680431365967
"13" 2001 2 24.649175008138
"14" 2003 3 24.6419200897217
"15" 2016 2 24.5135059356689
"16" 2007 2 24.5003941853841
"17" 2007 3 24.4951763153076
"18" 2014 3 24.4410368601481
"19" 2012 2 24.4070676167806
"20" 1944 3 24.4046052296956
